brand,model,price,category,shutter,exposure,test_level
NIKON,FM2,40,SLR,4000,1,4
NIKON,F3,50,SLR,2000,2,5
NIKON,F801S,15,SLR,8000,4,3
NIKON,L35AF2,12,P&S,500,1,2
NIKON,TW ZOOM,10,P&S,500,1,1
NIKON,FE,18,SLR,1000,2,3
NIKON,35TI,70,P&S,500,1,3
MINOLTA,X-700,25,SLR,1000,4,3
MINOLTA,X-300,18,SLR,1000,2,3
MINOLTA,HI-MATIC SD,12,P&S,450,1,2
MINOLTA,HI-MATIC AF2,17,P&S,450,1,2
MINOLTA,CAPIOS 20,10,P&S,200,1,1
MINOLTA,PROD 20,23,P&S,150,1,1
MINOLTA,TC-1,80,P&S,750,1,3
PENTAX,ME SUPER,21,SLR,2000,2,3
PENTAX,MX,19,SLR,1000,1,4
PENTAX,P50,15,SLR,1000,3,2
PENTAX,SUPER PROGRAM,23,SLR,2000,3,3
PENTAX,ESPIO 928,13,P&S,300,1,1
PENTAX,P35AF,12,P&S,430,1,2
OLYMPUS,OM-10,18,SLR,1000,2,3
OLYMPUS,MJU-1,15,P&S,500,1,1
OLYMPUS,MJU-2,25,P&S,500,1,1
OLYMPUS,MJU ZOOM 70,10,P&S,400,1,1
OLYMPUS,PEN EE3,11,P&S,125,1,1
OLYMPUS,PEN F,15,P&S,500,1,4
OLYMPUS,XA,18,P&S,500,1,2
CONTAX,T2,80,P&S,500,1,2
CONTAX,T3,140,P&S,1200,1,2
CONTAX,TVS,30,P&S,700,1,2
CONTAX,S2,90,SLR,4000,1,4
CONTAX,G1,75,RF,4000,2,4
KONICA,C35,15,P&S,125,1,2
KONICA,AUTOREX,23,SLR,1000,2,4
KONICA,POP,13,P&S,125,1,1
KONICA,C35EF,15,P&S,250,1,1
KONICA,BIG MINI,20,P&S,360,1,1
KONICA,HEXAR,65,RF,250,3,3
YASHICA,ELECTRO35,15,RF,500,1,3
YASHICA,FX-D,12,SLR,1000,2,3
YASHICA,T4,35,P&S,700,1,2
YASHICA,35MF,10,P&S,250,1,2
CANON,F-1,50,SLR,2000,2,5
CANON,A-1,30,SLR,1000,4,4
CANON,AE-1 Program,25,SLR,1000,3,3
CANON,AE-1,20,SLR,1000,2,3
CANON,AUTOBOY 2,15,P&S,500,1,1
CANON,EOS 5,20,SLR,8000,4,3
CANON,QL17 G3,16,RF,500,2,3
CANON,AF35ML,17,P&S,400,1,1
